key_a,key_b,branch_epoch_a,branch_epoch_b,model_id_a,model_id_b,clean_accuracy,clean_loss,acc_corr_3,loss_corr_3
50_4,100_1,50,100,4,1,1.0,4.637820281219483,,
60_4,300_4,60,300,4,4,55.48,2.351446781539917,25.126315789473683,3.623363856687044
70_4,180_3,70,180,4,3,58.07,2.1602523906707765,25.864736842105263,3.5887030790630137
100_3,150_2,100,150,3,2,64.1,1.805299901390076,31.495263157894737,3.2806864680942738
230_2,250_3,230,250,2,3,79.82,0.9685565620422364,53.695789473684215,2.226280021953583
90_4,120_1,90,120,4,1,1.02,4.687858630371093,,
130_2,170_2,130,170,2,2,78.52,1.0550402527809144,50.81263157894737,2.3674017043465065
250_4,270_2,250,270,4,2,79.15,0.982960527229309,53.17842105263158,2.255096729002501
110_2,280_4,110,280,2,4,76.33,1.179712767791748,47.07210526315789,2.529694071940372
180_1,280_1,180,280,1,1,1.48,4.604492388153076,,
50_4,290_4,50,290,4,4,45.0,2.8880437423706056,19.517894736842106,3.9084248128790606
50_1,210_4,50,210,1,4,0.98,4.673796057891845,,
110_1,240_2,110,240,1,2,1.0,4.649704527282715,,
240_3,250_3,240,250,3,3,79.21,0.9811389847755432,53.61,2.22887181361349
50_2,240_3,50,240,2,3,50.67,2.576085506439209,23.36,3.6687338852531033
110_3,280_1,110,280,3,1,72.28,1.392891763305664,40.945789473684215,2.802416113160786
110_3,290_2,110,290,3,2,71.6,1.4188345291137696,39.99526315789473,2.8540204953344244
280_3,290_3,280,290,3,3,79.16,0.9911258743286132,53.48052631578948,2.241317287906848
140_1,250_4,140,250,1,4,0.8,4.692232668304444,,
100_1,280_3,100,280,1,3,1.0,4.635799102020264,,
220_4,230_2,220,230,4,2,75.75,1.113476111507416,45.15,2.6825150116117378
170_3,260_1,170,260,3,1,79.05,0.991291711616516,51.85947368421053,2.324119970994247
140_2,160_1,140,160,2,1,1.0,4.650528719329834,,
220_4,270_3,220,270,4,3,67.41,1.5007832908630372,33.903684210526315,3.3743979721370496
110_4,230_1,110,230,4,1,1.98,4.587018000030517,,
160_3,260_3,160,260,3,3,78.57,1.018070112991333,51.03,2.3508255941892924
100_3,140_1,100,140,3,1,1.0,4.679720561981201,,
150_3,180_2,150,180,3,2,76.36,1.126639422225952,46.43315789473685,2.579307760951393
110_4,170_1,110,170,4,1,1.0,4.62905665359497,,
130_1,200_4,130,200,1,4,1.0,4.782961731719971,,
160_1,240_2,160,240,1,2,1.0,4.669561460876465,,
60_3,70_2,60,70,3,2,12.01,4.185697052764892,5.493684210526316,4.476436445296438
80_2,160_4,80,160,2,4,61.9,1.9470800188064568,29.714210526315792,3.448306671463816
110_3,120_3,110,120,3,3,70.36,1.4711254062652588,38.26368421052632,2.9373250210511057
160_4,290_4,160,290,4,4,79.58,0.9733616579055786,53.40894736842105,2.2745796490317893
240_2,300_2,240,300,2,2,79.37,0.9801091305732728,53.14263157894737,2.2579639526517767
100_3,240_4,100,240,3,4,65.58,1.7102249622344972,33.74263157894737,3.151426647688213
160_4,180_1,160,180,4,1,2.42,4.5658441795349125,,
100_3,220_1,100,220,3,1,4.12,4.529266012573242,,
160_4,210_2,160,210,4,2,78.74,1.0084529341697692,51.40052631578948,2.382458924941013
100_1,180_2,100,180,1,2,1.0,4.634335082244873,,
80_1,80_4,80,80,1,4,1.0,4.687897810363769,,
180_1,290_4,180,290,1,4,1.39,4.605566445922851,,
100_2,150_2,100,150,2,2,76.25,1.2043949586868286,46.2378947368421,2.573991079230057
230_3,280_1,230,280,3,1,79.81,0.9586904036521912,53.92368421052631,2.2219172403084606
60_3,170_3,60,170,3,3,17.96,3.926882493209839,7.459473684210526,4.446890552601062
80_3,290_3,80,290,3,3,47.97,2.637555269622802,21.024210526315787,3.8324957002940927
80_3,190_1,80,190,3,1,2.75,4.572561832427978,,
80_4,170_4,80,170,4,4,29.4,3.410447420501709,11.468421052631578,4.431466938661274
150_1,240_1,150,240,1,1,1.0,4.754001174163818,,
100_2,220_2,100,220,2,2,72.94,1.345883551597595,40.479473684210525,2.862001463548761
80_1,130_4,80,130,1,4,1.0,4.685197196960449,,
150_4,160_3,150,160,4,3,78.99,1.0143422530174255,51.33842105263157,2.356894182877792
130_4,290_1,130,290,4,1,78.38,1.0542866759300231,50.80578947368421,2.366422964136224
130_2,290_4,130,290,2,4,78.06,1.0742295152664183,49.78684210526316,2.4064704032797564
110_3,240_2,110,240,3,2,72.23,1.398572275161743,40.78526315789473,2.8101189636732404
60_1,190_3,60,190,1,3,1.0,4.676065608215332,,
120_3,130_2,120,130,3,2,74.17,1.2818878911972047,42.54947368421053,2.752842270499781
50_4,230_3,50,230,4,3,40.53,3.031849199295044,17.544736842105262,3.982553918798346
220_1,290_3,220,290,1,3,5.38,4.570201495361328,3.1605263157894736,4.914138872367457
110_4,170_4,110,170,4,4,55.31,2.108225929069519,24.40736842105263,3.8468978794599833
250_1,280_3,250,280,1,3,33.55,3.287648408126831,13.031052631578948,4.881098754039563
160_1,280_2,160,280,1,2,1.0,4.660165075683594,,
210_1,260_2,210,260,1,2,7.11,4.419709767150879,3.5163157894736843,4.662404778048867
250_2,290_2,250,290,2,2,79.36,0.9851973925590516,53.08842105263158,2.262196320127186
150_4,230_2,150,230,4,2,79.95,0.9748190085411071,53.32578947368421,2.254998033172205
60_4,170_1,60,170,4,1,1.0,4.640108308410644,,
210_1,250_3,210,250,1,3,7.2,4.413031462097168,3.5626315789473684,4.663857620921887
110_3,120_1,110,120,3,1,1.0,4.693081337738037,,
100_1,230_3,100,230,1,3,1.0,4.637701326751709,,
60_2,200_2,60,200,2,2,62.3,2.0560197063446046,30.82578947368421,3.350534336672331
50_3,280_1,50,280,3,1,13.6,4.124137947082519,5.803684210526316,4.446591250690661
170_4,220_4,170,220,4,4,79.35,0.9543844851493836,53.29315789473684,2.24344654659472
120_2,150_4,120,150,2,4,78.2,1.0715114296913146,49.596315789473685,2.447080279751828
280_1,280_2,280,280,1,2,79.36,0.9841190530776978,52.96421052631579,2.2701704171180723
120_3,210_4,120,210,3,4,37.8,3.045721996688843,14.743684210526316,4.380148988422595
60_3,200_2,60,200,3,2,15.41,4.045095964813233,6.548947368421053,4.494152780472605
140_3,260_1,140,260,3,1,77.18,1.1076678209304809,48.8378947368421,2.4377156908436826
120_4,240_2,120,240,4,2,76.52,1.1480167276382447,46.95947368421053,2.555834867507533
260_1,270_4,260,270,1,4,79.49,0.9633184520721436,53.6678947368421,2.24447938640996
170_1,240_4,170,240,1,4,1.0,4.623999942016601,,
60_3,90_1,60,90,3,1,1.0,4.723454894256592,,
80_2,90_2,80,90,2,2,73.14,1.4377259401321412,41.8678947368421,2.802496363368788
150_1,190_4,150,190,1,4,1.0,4.697554939270019,,
80_1,100_4,80,100,1,4,1.0,4.6868522789001466,,
50_2,110_1,50,110,2,1,1.0,4.639199309539795,,
160_3,260_4,160,260,3,4,78.74,1.00749647769928,51.42894736842105,2.3283083460556835
190_2,270_4,190,270,2,4,79.73,0.9823597302436828,53.01315789473684,2.286123626227128
70_1,120_2,70,120,1,2,1.59,4.651381484222412,,
160_1,210_2,160,210,1,2,1.0,4.653792858886718,,
70_1,130_4,70,130,1,4,1.0,4.65366789855957,,
120_3,280_4,120,280,3,4,74.82,1.2457201276779175,44.33052631578947,2.65704815173902
180_2,260_4,180,260,2,4,79.74,0.967379450893402,53.52105263157895,2.250773515259592
210_1,220_3,210,220,1,3,10.39,4.332457633972168,4.753157894736842,4.663461252754613
50_3,300_2,50,300,3,2,12.08,4.181373151397705,5.145789473684211,4.480449576086747
180_1,250_1,180,250,1,1,26.38,3.4132164012908937,11.253157894736844,4.132877105431808
80_1,270_2,80,270,1,2,1.0,4.688481121063233,,
140_2,180_4,140,180,2,4,51.01,2.3843671424865724,21.54842105263158,4.081806727218628
140_1,250_3,140,250,1,3,1.0,4.6858287940979,,
250_3,260_4,250,260,3,4,79.37,0.9775717942237854,53.23052631578948,2.249266589064347
120_2,180_4,120,180,2,4,37.0,3.1412581134796143,14.78736842105263,4.363873548246684
50_4,180_4,50,180,4,4,4.96,4.504240731048584,,
150_1,210_3,150,210,1,3,1.0,4.687764693450927,,
100_1,210_1,100,210,1,1,1.0,4.654556087493896,,
220_2,280_4,220,280,2,4,79.92,0.9586419088363648,53.96473684210526,2.220033809375763
100_2,110_2,100,110,2,2,76.88,1.1672290824890137,46.97789473684211,2.547909401271218
90_1,130_3,90,130,1,3,1.0,4.716987761688232,,
120_2,260_2,120,260,2,2,77.17,1.1239857075691224,48.03526315789473,2.4869224711568734
220_4,250_4,220,250,4,4,76.32,1.0808886231422423,46.58631578947368,2.600844857195804
140_1,170_2,140,170,1,2,1.0,4.686526455688477,,
120_3,290_4,120,290,3,4,74.79,1.2479669343948363,44.3,2.658646659861113
130_1,200_1,130,200,1,1,1.0,4.797464653015137,,
170_3,280_2,170,280,3,2,79.18,0.99219629611969,52.28421052631579,2.3027009418086
160_2,190_4,160,190,2,4,33.89,3.252871294403076,13.473684210526317,4.600181327257658
80_1,200_1,80,200,1,1,0.94,4.687338856506348,,
170_4,260_2,170,260,4,2,75.86,1.133025242614746,45.876315789473686,2.6954194539019936
110_4,150_4,110,150,4,4,78.16,1.064481590938568,50.47052631578948,2.406251684128611
110_2,220_1,110,220,2,1,2.94,4.563310395050049,,
200_3,300_4,200,300,3,4,80.08,0.958555079460144,54.04684210526316,2.222259044356095
100_4,290_1,100,290,4,1,74.17,1.2956670812606812,43.60421052631579,2.691956010607669
180_3,250_4,180,250,3,4,79.46,0.9696524764060974,52.87578947368421,2.272395023456373
120_4,270_1,120,270,4,1,76.75,1.1358027328491211,47.69368421052632,2.5236906826721994
150_1,300_1,150,300,1,1,1.0,4.694597713470459,,
210_2,280_3,210,280,2,3,79.88,0.9581962697982788,54.532631578947374,2.2013469052967274
60_2,230_1,60,230,2,1,1.87,4.595041419219971,,
70_4,180_1,70,180,4,1,1.0,4.628982970428467,,
180_3,260_4,180,260,3,4,79.46,0.96687465801239,53.05526315789474,2.263977296789069
90_1,170_3,90,170,1,3,1.0,4.716628471374512,,
140_1,300_2,140,300,1,2,1.0,4.685244974517822,,
80_1,110_4,80,110,1,4,1.0,4.687772229766845,,
160_3,260_2,160,260,3,2,78.53,1.0181019345283508,51.04,2.3467640110969543
100_2,210_2,100,210,2,2,75.47,1.2383617225646972,45.56578947368421,2.599023889109963
170_1,300_2,170,300,1,2,1.0,4.62684047164917,,
170_3,240_3,170,240,3,3,79.12,0.9952845591545104,52.69315789473685,2.273782230803841
150_2,150_3,150,150,2,3,76.27,1.1324975664138794,46.54736842105263,2.573073984718323
110_1,220_1,110,220,1,1,1.01,4.651325164031983,,
180_3,280_1,180,280,3,1,79.59,0.969959232711792,52.97842105263158,2.269202942180633
110_3,210_1,110,210,3,1,5.59,4.4680481559753416,3.1868421052631577,4.555284991936935
180_2,180_4,180,180,2,4,59.29,1.9354015975952148,27.26736842105264,3.7720537800638296
80_2,80_3,80,80,2,3,40.93,3.0162126304626464,16.437368421052632,4.062515087489078
70_2,250_2,70,250,2,2,62.2,1.9639291509628296,31.143157894736845,3.3332899983556645
160_4,220_1,160,220,4,1,26.86,3.5394467319488525,10.503157894736844,4.822634158726743
70_2,170_1,70,170,2,1,1.0,4.627524670410156,,
220_4,270_4,220,270,4,4,73.51,1.2119470016479492,41.695789473684215,2.8894862322556345
60_4,220_4,60,220,4,4,8.24,4.378078266906738,4.212631578947369,4.53604006098697
150_1,150_4,150,150,1,4,1.0,4.693772233581543,,
50_2,70_4,50,70,2,4,63.07,1.9603936172485352,30.48157894736842,3.3267508309012963
120_1,220_1,120,220,1,1,1.0,4.701896083831787,,
80_2,170_3,80,170,2,3,64.85,1.7940076259613038,32.58894736842105,3.22824479401237
100_2,120_2,100,120,2,2,76.58,1.1833259311676023,47.15684210526316,2.5334997505288377
50_3,130_3,50,130,3,3,10.56,4.221941314697266,4.793684210526315,4.466824282957378
250_4,270_1,250,270,4,1,79.19,0.9906051938056946,52.80263157894737,2.274248589284797
170_3,290_1,170,290,3,1,79.11,0.9940835752487184,52.42842105263158,2.2925657133152613
240_2,260_2,240,260,2,2,79.24,0.983378228378296,53.15315789473684,2.253967381020596
110_3,130_2,110,130,3,2,70.35,1.4881465366363524,37.35157894736842,2.9872219437649377
70_3,290_4,70,290,3,4,42.63,2.9312897064208983,18.53315789473684,3.87398797613445
270_4,280_4,270,280,4,4,79.22,0.9915734874725342,53.17157894736842,2.2525947676558244
240_1,280_1,240,280,1,1,12.79,4.472263877105713,5.739473684210526,5.24359735705727
60_1,100_2,60,100,1,2,1.0,4.682587682342529,,
160_1,250_1,160,250,1,1,1.0,4.676032821655274,,
180_2,190_1,180,190,2,1,2.02,4.586268939208985,,
130_3,190_2,130,190,3,2,75.34,1.2008156593322754,45.34473684210526,2.6090594566244825
190_1,240_1,190,240,1,1,50.98,2.161231760406494,23.34526315789474,3.5808161803998444
90_1,110_2,90,110,1,2,1.0,4.715388708496094,,
60_1,150_4,60,150,1,4,1.0,4.694672993469238,,
150_1,260_3,150,260,1,3,1.0,4.693653274536133,,
160_4,230_1,160,230,4,1,24.08,3.729109063339233,9.220526315789474,5.020748288907503
200_1,280_4,200,280,1,4,5.95,4.4413137535095215,3.4,4.574501637870386
50_1,70_3,50,70,1,3,1.0,4.668040767669678,,
180_4,270_4,180,270,4,4,73.48,1.240036890411377,42.15631578947369,2.896087965111984
140_4,230_4,140,230,4,4,73.43,1.2436170022964477,41.81105263157895,2.8391713145908555
70_2,220_1,70,220,2,1,2.08,4.598814170837402,,
120_2,290_2,120,290,2,2,77.43,1.1083303949356078,48.58578947368421,2.464867179348594
100_3,180_4,100,180,3,4,45.4,2.7003902278900145,19.46315789473684,3.979286330955907
120_1,290_4,120,290,1,4,1.04,4.699639945983887,,
60_4,120_2,60,120,4,2,63.79,2.01189898853302,31.781578947368423,3.314850055252878
160_3,220_2,160,220,3,2,78.59,1.00421190366745,51.368947368421054,2.3299075266988654
