key_a,key_b,clean_accuracy_permuted,clean_loss_permuted
100_2,170_1,1.22,4.968935840606689
100_2,170_2,74.21,1.2806732091903688
100_2,170_3,70.27,1.4405310609817505
100_2,170_4,71.2,1.390209624862671
100_2,180_1,1.07,4.631590643310547
100_2,180_2,73.86,1.3107941083908081
100_2,180_3,71.29,1.4226204690933228
100_2,180_4,59.12,1.9884354543685914
100_2,190_1,2.65,4.590568396759033
100_2,190_2,73.35,1.336238461112976
100_2,190_3,70.42,1.4515565559387207
100_2,190_4,39.86,2.9750917343139647
100_2,200_1,1.0,4.598063059997559
100_2,200_2,73.61,1.3229645654678344
100_2,200_3,69.89,1.486583871269226
100_2,200_4,21.3,3.822448040008545
100_2,210_1,1.87,4.58144091796875
100_2,210_2,73.19,1.3389944179534912
100_2,210_3,71.85,1.4072337574958802
100_2,210_4,10.83,4.257964183807373
100_2,220_1,2.27,4.593724223327636
100_2,220_2,73.3,1.3470142784118653
100_2,220_3,71.22,1.4239285305976868
100_2,220_4,16.58,4.02556170501709
100_2,230_1,2.24,4.584259521484375
100_2,230_2,72.82,1.3511506972312928
100_2,230_3,71.66,1.416906650161743
100_2,230_4,21.85,3.848905017852783
100_2,240_1,1.89,4.576968879699707
100_2,240_2,71.42,1.4068081979751588
100_2,240_3,71.99,1.3939176377296447
100_2,240_4,35.51,3.1368241447448733
100_2,250_1,2.83,4.578736287689209
100_2,250_2,71.61,1.3985347286224366
100_2,250_3,72.47,1.3623088819503784
100_2,250_4,57.07,2.1165295700073243
100_2,260_1,2.94,4.5667045700073245
100_2,260_2,71.54,1.406808920097351
100_2,260_3,73.27,1.339984060382843
100_2,260_4,67.6,1.5778717777252198
100_2,270_1,5.24,4.462457843017578
100_2,270_2,72.39,1.3703191411018372
100_2,270_3,72.94,1.3496713760375976
100_2,270_4,70.83,1.4360347290992737
100_2,280_1,73.12,1.3461158239364623
100_2,280_2,72.6,1.3541101504325868
100_2,280_3,72.86,1.343388462638855
100_2,280_4,72.12,1.3807840510368348
100_2,290_1,72.81,1.3443414315223694
100_2,290_2,72.29,1.3684551315307618
100_2,290_3,72.43,1.3632647671699525
100_2,290_4,72.33,1.3709480310440063
100_2,300_1,72.54,1.3622426042556763
100_2,300_2,72.71,1.3552190342903137
100_2,300_3,72.45,1.362405142211914
100_2,300_4,72.27,1.3721281799316407
100_2,50_1,1.0,14611.885690625
100_2,50_2,57.65,2.444695489883423
100_2,50_3,22.67,3.919404266357422
100_2,50_4,38.08,3.087062306213379
100_2,60_1,1.0,3189.225053515625
100_2,60_2,62.48,2.125802457046509
100_2,60_3,25.91,3.781741180419922
100_2,60_4,48.32,2.5574476860046387
100_2,70_1,1.0,367.5735346679688
100_2,70_2,67.64,1.7067489433288574
100_2,70_3,33.6,3.450544009399414
100_2,70_4,61.92,1.9924399013519287
100_2,80_1,1.0,514.048730078125
100_2,80_2,70.04,1.5647489038467408
100_2,80_3,42.91,3.0282769119262696
100_2,80_4,66.63,1.6733673608779907
100_2,90_1,1.0,729.8070981445312
100_2,90_2,73.74,1.3533513048171997
100_2,90_3,49.54,2.5417272453308106
